GOP,layer, Y-PSNR, bits
80,5,40.168,10395
80,6,41.196,14497
80,7,42.238,17555
80,8,43.219,22227
81,1,36.213,10529
81,2,36.880,4949
81,3,37.881,7607
81,4,38.937,9944
81,5,39.888,12459
81,6,40.907,16503
81,7,41.969,20421
81,8,42.987,25499
82,1,36.300,11653
82,2,37.007,5314
82,3,38.034,7994
82,4,39.079,10422
82,5,40.055,13048
82,6,41.084,17462
82,7,42.114,21124
82,8,43.152,26840
83,1,32.907,21785
83,2,33.614,9255
83,3,34.743,15514
83,4,35.929,20543
83,5,37.029,25069
83,6,38.219,32882
83,7,39.450,40353
83,8,40.637,49215
84,1,31.360,25383
84,2,32.137,12494
84,3,33.292,20418
84,4,34.509,27243
84,5,35.601,33007
84,6,36.793,43107
84,7,38.050,52952
84,8,39.291,64506
85,1,31.366,25380
85,2,32.103,12634
85,3,33.248,20826
85,4,34.466,27723
85,5,35.555,34022
85,6,36.770,44234
85,7,38.036,53754
85,8,39.283,65814
86,1,31.281,31947
86,2,32.038,14781
86,3,33.161,23691
86,4,34.404,32001
86,5,35.556,39747
86,6,36.753,50172
86,7,38.023,61546
86,8,39.363,75518
87,1,31.221,32285
87,2,31.952,14528
87,3,33.089,23938
87,4,34.263,31313
87,5,35.383,39800
87,6,36.569,50706
87,7,37.841,62097
87,8,39.098,75813
88,1,31.126,33742
88,2,31.910,14595
88,3,33.037,23898
88,4,34.243,31611
88,5,35.368,39296
88,6,36.569,49882
88,7,37.838,61105
88,8,39.109,74507
89,1,31.194,30630
89,2,31.951,14109
89,3,33.081,22943
89,4,34.309,30410
89,5,35.439,37137
89,6,36.637,47247
89,7,37.926,58566
89,8,39.201,70922
90,1,31.056,30056
90,2,31.820,14087
90,3,32.997,23231
90,4,34.196,29780
90,5,35.326,37251
90,6,36.519,47397
90,7,37.820,57931
90,8,39.097,69666
91,1,30.668,35204
91,2,31.439,16174
91,3,32.606,27011
91,4,33.810,34848
91,5,34.976,43674
91,6,36.175,54634
91,7,37.478,66935
91,8,38.767,81233
92,1,30.903,30890
